309.0,722.0
203.0,130.0
22
191.0,429.0;410.0,621.0;264.0,299.0;
[147, 659, 144, 74;
 553, 387, 536, 774;
 381, 510, 390, 369;
 536, 774, 253, 761;
 144, 74, 409, 64;
 409, 64, 383, 249;
 390, 369, 240, 358;
 147, 659, 454, 664;
 488, 393, 506, 238;
 291, 276, 289, 154;
 381, 510, 233, 506;
 253, 761, 245, 661;
 294, 215, 128, 221;
 383, 249, 532, 237;
 144, 74, 137, 183;
 233, 506, 234, 585;
 291, 276, 279, 173;
 372, 579, 377, 668;
 458, 544, 539, 558;
 488, 393, 553, 387;
 245, 661, 283, 669;
 539, 558, 538, 630]
