541.0,512.0
137.0,348.0
32
720.0,354.0;572.0,295.0;84.0,97.0;
[48, 579, 752, 586;
 773, 50, 40, 64;
 311, 333, 165, 336;
 40, 64, 48, 579;
 398, 57, 392, 335;
 395, 385, 695, 390;
 292, 534, 112, 528;
 46, 436, 228, 428;
 392, 335, 558, 333;
 752, 586, 773, 50;
 395, 385, 405, 539;
 490, 95, 682, 82;
 443, 249, 655, 257;
 274, 430, 351, 427;
 655, 127, 536, 131;
 191, 132, 287, 126;
 408, 478, 152, 490;
 104, 283, 102, 386;
 191, 97, 338, 104;
 108, 100, 102, 237;
 694, 437, 571, 431;
 443, 249, 451, 56;
 695, 325, 609, 333;
 104, 283, 267, 283;
 405, 539, 588, 530;
 485, 208, 605, 205;
 143, 169, 287, 162;
 694, 481, 636, 489;
 694, 481, 694, 437;
 102, 237, 196, 229;
 351, 427, 353, 295;
 695, 325, 691, 226;
 338, 104, 338, 229;
 626, 175, 533, 181;
 338, 229, 259, 231;
 647, 196, 716, 190;
 708, 87, 708, 45;
 716, 190, 716, 129;
 459, 446, 525, 436;
 352, 578, 352, 532;
 459, 492, 582, 493;
 655, 257, 655, 127;
 102, 386, 174, 386;
 283, 326, 278, 389;
 112, 528, 120, 430;
 691, 226, 764, 233;
 485, 208, 490, 95;
 633, 535, 695, 530;
 582, 493, 588, 530;
 311, 333, 305, 263;
 292, 534, 285, 480;
 196, 229, 194, 170;
 259, 231, 267, 283;
 571, 431, 567, 391]
